Provider ID,City,Store name,Address,Latitude,Longitude,Manual_radius_km,Est_CPO_EUR
622697,Kyiv,"ФОРА бульв. Шевченка, 1","Святопетрівське, бульв. Шевченка, 1",50.396279,30.317934,1.5,1.97
1012686,Kyiv,"ФОРА вул. Метрологічна, 14 Б","Київ, вул. Метрологічна, 14 Б",50.349825,30.476437,1.6,1.98
442676,Kyiv,"ФОРА вул. Якуба Коласа, 25","Київ, вул. Якуба Коласа, 25",50.43716,30.382855,1.3,1.94
952668,Kyiv,"ФОРА вул. Кирилівська, 122/1","Київ, вул. Кирилівська, 122/1",50.483196,30.476838,1.9,2.03
352671,Kyiv,"ФОРА вул. Ентузіастів, 7","Київ, вул. Ентузіастів, 7",50.435703,30.600647,1.3,1.94
1012687,Kyiv,"ФОРА вул. Лук'янівська, 1","Київ, вул. Лук'янівська, 1",50.465588,30.492514,1.5,1.97
472662,Kyiv,"ФОРА вул. Єфремова, 8 А","Київ, вул. Єфремова, 8 А",50.464965,30.351885,1.4,1.95
922658,Kyiv,"ФОРА вул. Деревлянська, 14","Київ, вул. Деревлянська, 14",50.465809,30.469159,1.4,1.95
1012688,Kyiv,"ФОРА вул. Жулянська, 1 А","Крюківщина, вул. Жулянська, 1 А",50.377022,30.379092,1.6,1.98
982686,Kyiv,"ФОРА просп. Любомира Гузара, 28","Київ, просп. Любомира Гузара, 28",50.438597,30.419663,1.3,1.94
622698,Kyiv,"ФОРА вул. Мрії, 16Б","Київ, вул. Мрії, 16Б",50.474964,30.396271,1.8,2.02
622699,Kyiv,"ФОРА вул. Верхогляда, 2 А","Київ, вул. Верхогляда, 2 А",50.413568,30.544381,1.6,1.98
502672,Kyiv,"ФОРА вул. Садова, 1 Г","Петропавлівська Борщагівка, вул. Садова, 1 Г",50.433866,30.330377,2.2,2.08
922659,Kyiv,"ФОРА вул. Заболотного, 128 А","Київ, вул. Заболотного, 128 А",50.360654,30.469912,1.5,1.97
442677,Kyiv,"ФОРА вул. Бучми, 6 А","Київ, вул. Бучми, 6 А",50.431547,30.603719,1.3,1.94
322678,Kyiv,"ФОРА вул. Тичини, 15 А","Київ, вул. Тичини, 15 А",50.431918,30.610421,1.6,1.98
532673,Kyiv,"ФОРА вул. Пулюя, 5","Київ, вул. Пулюя, 5",50.415271,30.465159,1.7,2.00
592684,Kyiv,"ФОРА вул. Чорних Запорожців, 28","Київ, вул. Чорних Запорожців, 28",50.479757,30.605754,1.3,1.94
802680,Kyiv,"ФОРА вул. Яблунева, 13 А","Софіївська Борщагівка, вул. Яблунева, 13 А",50.400902,30.392829,1.9,2.03
