City,Store name,Address,Latitude,Longitude,Radius_OptionA_cityUniform_km,Radius_OptionB_perStore_km,Radius_OptionC_countryUnified_km,OptionB_demand_reach_%,OptionB_cannibalization_%,OptionB_CPO_EUR
Kyiv,"ФОРА вул. Машинобудівників, 11А","Вишневе, вул. Машинобудівників, 11А",50.394275,30.377683,1.5,1.4,1.6,1.3,100.0,1.952
Kyiv,"ФОРА вул. Лютеранська, 3","Київ, вул. Лютеранська, 3",50.44628,30.523217,1.5,1.4,1.6,1.2,64.5,1.952
Kyiv,"ФОРА просп. Неб. Сотні, 38","Софіївська Борщагівка, просп. Неб. Сотні, 38",50.408753,30.327276,1.5,1.5,1.6,1.1,100.0,1.968
Kyiv,"ФОРА вул. Преображенська, 28","Київ, вул. Преображенська, 28",50.420082,30.478505,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Івана Франка, 101А","Боярка, вул. Івана Франка, 101А",50.307733,30.315612,1.5,1.3,1.6,0.6,67.6,1.936
Kyiv,"ФОРА Академіка Булаховського, 3А","Київ, Академіка Булаховського, 3А",50.46894,30.336154,1.5,1.4,1.6,0.9,95.7,1.952
Kyiv,"ФОРА просп. Берестейський, 60","Київ, просп. Берестейський, 60",50.457272,30.43509,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Полуботка, 9-Г","Київ, вул. Полуботка, 9-Г",50.456098,30.615109,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА бульв. Гавела Вацлава, 4","Київ, бульв. Гавела Вацлава, 4",50.447361,30.426301,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Зарічна, 6","Київ, вул. Зарічна, 6",50.395212,30.606318,1.5,2.1,1.6,2.1,85.4,2.064
Kyiv,"ФОРА вул. Чавдар, 32","Київ, вул. Чавдар, 32",50.390303,30.625804,1.5,1.5,1.6,1.3,93.4,1.968
Kyiv,"ФОРА вул. Чорновола, 27","Київ, вул. Чорновола, 27",50.453625,30.485098,1.5,1.4,1.6,1.2,100.0,1.952
Kyiv,"ФОРА просп. Науки, 58В","Київ, просп. Науки, 58В",50.381294,30.532801,1.5,1.3,1.6,0.2,44.8,1.936
Kyiv,"ФОРА вул. Донецька, 8А","Київ, вул. Донецька, 8А",50.426173,30.455145,1.5,1.4,1.6,1.2,100.0,1.952
Kyiv,"ФОРА просп. Лісовий, 15","Київ, просп. Лісовий, 15",50.482246,30.627907,1.5,1.3,1.6,1.0,100.0,1.936
Kyiv,"ФОРА вул. Сергія Колоса, 1Б","Київ, вул. Сергія Колоса, 1Б",50.391149,30.46158,1.5,1.3,1.6,1.1,77.1,1.936
Kyiv,"ФОРА вул. Деміївська, 13","Київ, вул. Деміївська, 13",50.403982,30.513497,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Сверстюка, 6-А","Київ, вул. Сверстюка, 6-А",50.448348,30.5991,1.5,1.3,1.6,1.0,100.0,1.936
Kyiv,"ФОРА вул. Максимовича, 3-д","Київ, вул. Максимовича, 3-д",50.390623,30.479605,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Романа Мстиславича, 28А","Київ, вул. Романа Мстиславича, 28А",50.470127,30.610708,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Каховська, 62-А","Київ, вул. Каховська, 62-А",50.46252,30.592626,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Голосіївська, 18","Київ, вул. Голосіївська, 18",50.399147,30.515973,1.5,1.3,1.6,1.1,98.5,1.936
Kyiv,"ФОРА вул. Жуля Верна, 13","Київ, вул. Жуля Верна, 13",50.435376,30.367417,1.5,1.3,1.6,1.1,99.2,1.936
Kyiv,"ФОРА бульв. Русанівський, 12","Київ, бульв. Русанівський, 12",50.437925,30.596074,1.5,1.3,1.6,0.8,100.0,1.936
Kyiv,"ФОРА вул. Максимовича, 26Б","Київ, вул. Максимовича, 26Б",50.392663,30.473773,1.5,1.3,1.6,1.1,98.5,1.936
Kyiv,"ФОРА вул. Світличного, 4","Київ, вул. Світличного, 4",50.435796,30.455134,1.5,1.4,1.6,1.2,100.0,1.952
Kyiv,"ФОРА Княгині Ольги, 67","Петропавлівська Борщагівка, Княгині Ольги, 67",50.425343,30.332367,1.5,1.4,1.6,1.2,90.4,1.952
Kyiv,"ФОРА просп. Володимира Івасюка, 39В","Київ, просп. Володимира Івасюка, 39В",50.51565,30.503752,1.5,1.5,1.6,1.3,100.0,1.968
Kyiv,"ФОРА просп. Оболонський, 51В","Київ, просп. Оболонський, 51В",50.524476,30.498955,1.5,1.5,1.6,1.1,84.7,1.968
Kyiv,"ФОРА вул. Бальзака, 85","Київ, вул. Бальзака, 85",50.531137,30.607839,1.5,1.4,1.6,0.9,92.5,1.952
Kyiv,"ФОРА вул. Парково-Сирецька, 1","Київ, вул. Парково-Сирецька, 1",50.469549,30.443493,1.5,1.3,1.6,1.1,100.0,1.936
Kyiv,"ФОРА вул. Ясна, 8","Київ, вул. Ясна, 8",50.407025,30.490125,1.5,1.3,1.6,1.1,93.2,1.936
Kyiv,"ФОРА вул. Братства тарасівців, 3","Київ, вул. Братства тарасівців, 3",50.406341,30.656441,1.5,1.6,1.6,1.6,100.0,1.984
Kyiv,"ФОРА просп. Шухевича Романа, 12","Київ, просп. Шухевича Романа, 12",50.494771,30.581839,1.5,1.5,1.6,1.3,80.8,1.968
Kyiv,"ФОРА вул. Грушевського, 12","Чайки, вул. Грушевського, 12",50.438825,30.282369,1.5,1.5,1.6,0.8,13.5,1.968
